"Identifiant de la publication","Lien permanent","Message de publication",Type,Pays,Langues,Publié,"Ciblage d’audience","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
447103548968697_1332030037142706,https://www.facebook.com/refyld/posts/1332030037142706,"Avec Refyld, on veut rendre la qualité accessible à tous.tes. 💪⁠
⁠
Imaginez vous rendre au supermarché et y trouver des produits qui ne nuisent ni à votre santé, ni à la planète, ni à votre porte-monnaie.

Concrètement, chaque personne qui adhère pourra accéder à tous nos produits à prix coûtant : soin, hygiène, entretien, alimentaire. 💦🛀🏡🍴 ⁠
⁠
👉 Le prix coûtant, ça veut dire que tous nos produits sont vendus au prix juste, au prix qu’ils coutent vraiment quoi.⁠
👉 Nos produits sont naturels, fabriqués en France, conditionnés dans des contenants en verre et rechargeables à l'infini grâce à notre recharge 100% biodégradable. Pratique.⁠
👉  Et en plus, en ce moment sur @Ulule, on vous propose une offre exceptionnelle : une adhésion à VIE à Refyld. ⁠
⁠
🤩 Rendez-vous dès maintenant sur ulule.com/refyld (lien en bio) pour prendre votre adhésion à vie et faire un maximum d'économies. 🤩⁠
⁠
Un grand MERCI d'avance pour votre soutien. 💛⁠
⁠
#refyld #refyldisthenewrecycle #moinsmaismieux #consommationresponsable #laqualitépourtous #solidarite  #crowdfunding #madeinfrance #lancement #startup  #soutien #solidaire #crowdfundingcampaign #ecologique⁠
Photo : @vicdht.photo",Photo,,,"10/31/2020 03:40:28 AM"," ",350,350,0,391,391,0,9,3,3,0,0,256,233,0,0,8,0,0,0,0,0,0,0,0,0,0,6,1,,6,1,,1,2,,,1,2,,,,,,
447103548968697_1331155327230177,https://www.facebook.com/refyld/posts/1331155327230177,"C'EST INCROYABLE 🚀 MERCI 🚀

Toutes nos adhésions à vie à prix de lancement ont été écoulées en moins de 48H. Merci infiniment. 😍

Pour celles et ceux qui ont manqué notre lancement, pas de panique, nous avons ajouté une nouvelle adhésion à prix réduit... Mais seulement pour les 50 prochaines personnes... #Gogogo ! 

Avec ce reconfinement, on compte doublement sur votre soutien. Vous êtes notre plus belle vitrine. Merci, merci, merci. 💛",Photo,,,"10/30/2020 04:35:49 AM"," ",1205,1205,0,1397,1397,0,192,145,188,1,2,660,564,0,0,117,0,0,0,0,0,0,0,0,0,0,60,4,4,70,4,5,30,123,1,,32,155,1,,1,1,1,1
447103548968697_1330368393975537,https://www.facebook.com/refyld/posts/1330368393975537,"Ce que disent nos premiers adhérants.es... 🤩 ⁠⠀
⁠⠀
Si vous saviez dans quel état d'excitation nous sommes.. C'est la #FOLIE ! Vous savoir derrière nous, ça nous met la tête dans les étoiles. ✨ ⁠⠀
⁠⠀
Votre soutien est important pour nous faire connaître, surtout suite à ce #reconfinement. ⁠⠀
⁠⠀
Vous êtes notre plus belle vitrine. Alors n'hésitez pas à partager le lien de la campagne Ulule : https://fr.ulule.com/refyld/,  à un.e ami.e, à votre entourage, votre communauté... Merci, merci, merci ! 💛

PS : il ne reste plus que quelques adhésion à prix de lancement 😱 #gogogo",Photo,,,"10/29/2020 07:13:21 AM"," ",348,348,0,406,406,0,14,8,8,0,0,211,179,0,0,11,0,0,0,0,0,0,0,0,0,0,8,3,,9,3,,8,,,,8,,,,,,,
447103548968697_1329272850751758,https://www.facebook.com/refyld/posts/1329272850751758,"🎉 NOTRE NOUVELLE OFFRE EST OFFICIELLEMENT EN PRÉ-VENTE ! 🎉

C'est le grand jour, nous lançon enfin notre nouvelle offre sur Ulule. Cela fait pas moins de 6 mois que l'on attend ce jour. Et ce projet, on en rêve depuis le début de l'aventure. Alors autant vous dire que l’excitation et l'émotion sont au rendez-vous… 🤩

On a imaginé une solution responsable et accessible à tous.tes. Parce que chez Refyld, on veut que la qualité soit accessible à tous.tes.

💛  Et on compte sur votre soutien ! 💛

Nous espérons vraiment que #Refyld vous accompagnera tout au long de l’année à travers vos produits du quotidien. Pour nous permettre de faire de ce projet une réalité, foncez et soutenez-nous sur notre campagne de #crowdfunding ! 

Pour les 50 premières nous vous réservons un tarif préférentiel. Alors n'attendez plus ! 🥳

Rendez-vous ici : https://fr.ulule.com/refyld/ 🎉",Link,,,"10/28/2020 04:05:22 AM"," ",2052,2052,0,2524,2524,0,161,131,158,0,0,598,390,0,0,61,0,0,0,0,0,0,0,0,0,0,34,10,4,48,11,4,,63,79,,,71,87,,,,,
447103548968697_1328176330861410,https://www.facebook.com/refyld/posts/1328176330861410,"Merci pour l'accueil que vous réservé à notre grand projet secret. 🥳⁠
⁠
Pour tout savoir en avant-première et profitez de nos prix réduits 🚀 : inscrivez-vous sur notre site refyld.com avant 12H ! ⁠
⁠
Vous ferez ainsi partie des chanceux.ses à découvrir notre projet ce soir à 20h ! 🤪 (*cet emoji c'est clairement notre #mood du moment : excité... Mais qui ne va pas tarder à craquer ha ha).⁠
⁠
Rendez-vous ce soir sinon demain 12h ! ON A BESOIN DE VOUS POUR FAIRE LA DIFFÉRENCE 💪  #MondeMeilleur #ConsommationResponsable #PourTous⁠
⁠
⁠
⁠📷 par @vicdht.photo⁠
⁠
#refyld #refyldisthenewrecycle #lancement #comingsoon #launch #teasing #marquefrancaise #ulule #solution #campagnedecrowdfunding #consommationresponsable ⁠ #startup #crowdfund #innovation",Photo,,,"10/27/2020 12:19:28 AM"," ",700,700,0,767,767,0,44,30,32,0,0,399,341,0,0,34,0,0,0,0,0,0,0,0,0,0,16,4,,20,6,,13,5,14,,13,5,14,,,,,
447103548968697_1327273944284982,https://www.facebook.com/refyld/posts/1327273944284982,"Et tadaaa. Voici un petit aperçu de nos produits. 😍⁠
⁠
Nos étiquettes sont encore en cour de finalisation avec notre super graphiste Marie Codina, et on compte bien les finaliser avec VOUS. 

Mais la base est là : de la simplicité, du minimalisme, bref juste l'essentiel. 😉⁠
⁠
Et surtout, nous pensons m nos produits pour qu'ils s'intègrent au mieux à tous vos intérieurs. Des couleurs sobres, discrètes pour plaire à un maximum d'entre vous. ⁠
⁠
Vous aimez ? Dites-nous en commentaire!!!!! ⁠
⁠
Sinon rendez-vous MERCREDI 12H pour découvrir notre solution qui fera LA différence pour un avenir plus durable.⁠
⁠
#refyld #refyldisthenewrecycle #lancement #comingsoon 
📷  par Vic Dht",Photo,,,"10/26/2020 01:49:49 AM"," ",466,466,0,542,542,0,27,17,24,0,0,262,221,0,0,23,0,0,0,0,0,0,0,0,0,0,16,4,3,19,5,4,6,12,,,6,18,,,,,,
447103548968697_1326642967681413,https://www.facebook.com/refyld/posts/1326642967681413,"📣 J-3 AVANT LE LANCEMENT DE NOTRE CAMPAGNE SUR @ULULE. 📣⁠
⁠
Depuis un mois, on vous parle de nos produits... Mais en réalité, il n'y a pas que ça. Il y a surtout autre chose. Et c'est ça que l'on vous présentera sur ulule dans 3 petits jours. 😱⁠
⁠
Une solution qui répond à un enjeu plus grand que nous. Une solution solidaire pour rendre, enfin, accessible les produits sains et écologiques. ⁠
⁠
Car la différence elle se fera uniquement lorsque nous pourrons TOUTES et TOUS avoir accès à une consommation responsable. 💡⁠
⁠
Vous nous suivez ? 🤩⁠
Rendez-vous dès maintenant sur notre site refyld.com pour découvrir en avant-première notre lancement 🚀 
⁠
⁠
#refyld #refyldisthenewrecycle #lancement #comingsoon #launch #teasing #marquefrancaise #ulule #solution #campagnedecrowdfunding #consommationresponsable ⁠ #startup #crowdfund #innovation",Photo,,,"10/25/2020 08:38:46 AM"," ",406,406,0,444,444,0,10,5,5,1,1,317,280,0,0,9,0,0,0,0,0,0,0,0,0,0,5,1,,5,1,,2,,3,,2,,3,,,1,,1
447103548968697_1325386237807086,https://www.facebook.com/refyld/posts/1325386237807086,"Le moment de la rencontre se rapproche. J-4👀⁠ 
⁠
Des produits ? Oui, bien évidemment. Mais lesquels ? ⁠
Des idées ? Dites-nous en commentaire. ⁠🤗⁠
⁠
#refyld #refyldisthenewrecycle #lancement #comingsoon #launch #teasing #marquefrancaise #consommationresponsable",Video,,,"10/24/2020 02:16:42 AM"," ",337,337,0,523,523,0,15,12,13,0,0,203,135,0,0,8,66,70,0,0,101,111,0,0,4179,5067,3,1,,3,1,,,3,,10,,3,,10,,,,
447103548968697_1324351157910594,https://www.facebook.com/refyld/posts/1324351157910594,"La grande majorité (80%) des plastiques observés dans les océans viennent des continents, l'autre partie, des activités en mer.⁠ 💦⁠
⁠
Bouteilles, sacs plastiques, fibres textiles, microbilles plastiques de produits cosmétiques, morceaux de polystyrène, filets de pêche… ⁠😰 Ce sont des déchets plastiques issus de notre consommation. ⁠
⁠
Alors pour un monde sans déchets, ni plastique, rendez-vous le 28 octobre 💥⁠
⁠
#refyldisthenewrecycle #comingsoon #lancement",Photo,,,"10/23/2020 02:04:30 AM"," ",352,352,0,404,404,0,8,1,1,0,0,251,216,0,0,6,0,0,0,0,0,0,0,0,0,0,6,2,,6,2,,1,,,,1,,,,,,,
447103548968697_1323698937975816,https://www.facebook.com/refyld/posts/1323698937975816,"À vos agendas ! ⁠
⁠
Rendez-vous le 28 octobre pour le grand lancement de notre campagne Ulule 🚀🥳⁠
⁠
Depuis mi-février nous travaillons pour créer un service dont on rêve depuis le début de l'aventure... Et que le confinement n'a fait qu'accélérer. ⁠
⁠
Nous voulions continuer à partager notre vision mais avec une nouvelle offre, encore plus responsable, plus pratique, plus accessible et surtout... Plus solidaire.⁠
⁠
💡 Car, nous en sommes convaincus : LA différence se fera uniquement lorsque nous pourrons TOUTES et TOUS avoir accès à une consommation responsable. 💡⁠
⁠
👉  Inscrivez-vous sur www.refyld.com pour être tenu.e au courant en avant-première de notre solution secrète : car si vous faites partie des premiers.ères à nous soutenir sur #Ulule, vous pourrez profiter de prix très (très) préférentiels... #onditcaonditrien 🤗",Photo,,,"10/22/2020 08:49:30 AM"," ",479,479,0,540,540,0,16,9,10,0,0,266,227,0,0,10,0,0,0,0,0,0,0,0,0,0,7,5,,8,5,,1,6,3,,1,6,3,,,,,
447103548968697_1322619884750388,https://www.facebook.com/refyld/posts/1322619884750388,"💡 REFYLD x WILLA💡

Nous sommes heureux de vous annoncer que Refyld rejoint le programme d'accompagnement WILLA SCALE de WILLA by Paris Pionnières !

Un programme de 12 mois qui va nous permettre de partir à la conquête de notre marché et de nous accompagner dans le développement de notre supermarché nouvelle génération dont on rêve depuis toujours.

Mais on vous donne déjà rendez-vous le 28 octobre pour notre lancement sur Ulule  ! 🤩",Photo,,,"10/21/2020 09:15:19 AM"," ",324,324,0,351,351,0,6,2,2,0,0,193,179,0,0,5,0,0,0,0,0,0,0,0,0,0,4,2,,4,2,,1,1,,,1,1,,,,,,
447103548968697_1322434048102305,https://www.facebook.com/refyld/posts/1322434048102305,"🔥 BIG NEWS!!!!!⁠ 🔥 
⁠
Dans 7 jours, on vous dévoile enfin TOUT. Des jours et des jours de réflexions pour enfin trouver une solution accessible à tous.tes... Alors pour cela, on vous donne RDV le 28 OCTOBRE sur @Ulule. ⁠
⁠
Si ce projet vous parle et que vous souhaitez nous aider : repartagez ce post à vos ami.es, connaissances et à toutes celles et ceux qui on envie d'accéder à des produits de qualité... Sans se ruiner. 😉 ⁠
⁠
Plus nous serons nombreux.ses, plus nous aurons de poids pour changer les choses collectivement.⁠ 💪⁠
⁠
#refyld #refyldisthenewrecycle #lancement #comingsoon #launch #teasing #marquefrancaise #consommationresponsable",Photo,,,"10/21/2020 03:43:43 AM"," ",340,340,0,392,392,0,12,1,1,1,1,193,168,0,0,12,0,0,0,0,0,0,0,0,0,0,12,3,,13,3,,1,,,,1,,,,,1,,1
447103548968697_1320256958320014,https://www.facebook.com/refyld/posts/1320256958320014,"Solide ou liquide ? Chez Refyld, on a opté pour le liquide mais en version 100% rechargeable ! #finilusageunique⁠
⁠
On a voulu réinventer nos produits du quotidien en version liquide, sains et qui n’ont rien à cacher. 🌿 ⁠⠀⁠
⁠
Des compositions naturelles, courtes et certifiées excellentes sur #Yuka : ⁠
👉 Bio 🌱⁠⠀⁠
👉 Sans parfums de synthèses✖️⁠⠀⁠
👉 Sans additifs✖️⁠⠀⁠
👉 Sans sulfates, ni paraben✖️⁠⠀⁠
👉 Vegan ✨⁠⠀⁠
👉 Et avec une très bonne odeur😉⠀⁠
⁠⠀⁠
On a hâte d'être le 28 octobre pour vous en dire plus !⁠
#cenestpascequevouscroyez⁠
⁠
#refyldisthenewrecycle #staytuned #bonnenouvelle #consommationresponsable #sain #lancement #goodfoodgoodmood #maman #miam #nouveaute #consommerautrement",Photo,,,"10/19/2020 01:19:15 AM"," ",434,434,0,483,483,0,11,2,2,1,1,277,244,0,0,10,0,0,0,0,0,0,0,0,0,0,9,3,,9,3,,,2,,,,2,,,1,,1,
447103548968697_1319636551715388,https://www.facebook.com/refyld/posts/1319636551715388,"🤩 J-10 avant notre lancement. 🤩⁠
⁠
Pour ne pas le manquer, inscrivez-vous sur refyld.com (lien dans la bio). ⁠
⁠
Et comme prévu, on vous partage, non pas un, mais 3 #indices pour deviner ce que l'on va vous proposer dès le mercredi 28 octobre...C'est parti : ⁠
⁠
#1 C’est plus que des produits, c’est un véritable mouvement. ⁠
⁠
#2 On aura besoin de vous pour en parler.⁠
⁠
#3 Ce sera accessible à tout le monde, vraiment tout le monde.⁠
⁠
Alors, des idées ? Dites-nous en commentaires 👀⁠
⁠
#refyld #refyldisthenewrecycle #lancement #comingsoon #launch #teasing #marquefrancaise #consommationresponsable",Video,,,"10/18/2020 09:12:22 AM"," ",258,258,0,352,352,0,12,9,9,1,1,143,118,0,0,9,28,29,0,0,69,72,0,0,3578,6034,4,1,,5,1,,,1,3,5,,1,3,5,1,,1,
447103548968697_1317348628610847,https://www.facebook.com/refyld/posts/1317348628610847,"Transparence. Solidarité ⁠&amp; Made in France.⁠
⁠
Chez Refyld, nous sommes des militant.es écolo de la première heure. 👊⁠
On ne vient pas de l'industrie cosmétique. Ni de la grand distrib. ⁠
On n'a pas attendu 15 ans avant de se rendre compte que quelque chose n'allait pas dans notre consommation. ⁠
On n'a pas cherché à lever des fonds en masse pour proposer une solution. ⁠
On a simplement agi. ⁠
Dans notre quotidien. ⁠
Dans la rue, pour manifester. #climatestrike
Avec nos moyens. ⁠
À 23 ans, entre notre master 1 et master 2 (journalisme pour Debora et entrepreneuriat pour Baptiste), nous avons consacré une année à faire des recherches sur notre (sur)consommation. 🔎📖⁠
Et le sujet de notre mémoire de fin d'études était : &quot;Comment l’entrepreneuriat, et de ce fait les entrepreneurs, jouent un rôle déterminant face aux enjeux sociaux et environnementaux de notre société ?&quot; 💡📝⁠
⁠
En fait, depuis toujours, nous voulons agir aujourd'hui pour demain (c'est d'ailleurs pour ça qu'on a intitulé notre premier #documentaire @aujourdhuipourdemainfilm). 🎥⁠
⁠
On dit souvent que c'est la jeune génération qui doit faire changer les choses. Et c'est vrai ! Nous prenons à coeur notre surnom de &quot;#GénérationClimat&quot;, les fameux 15-25 ans qui se mobilisent pour sauver la planète 🌍.
 ⁠
Alors, en toute logique, quand on a pensé #Refyld, pour nous tout devait se faire en France. Des fournitures aux étapes de confection de nos produits, TOUT est fait sur le territoire français. 🇫🇷⁠
⁠
Et puis, au delà de pouvoir tamponner nos produits #madeinfrance, les #crises actuelles appellent à la solidarité, c'est pourquoi en travaillant localement, avec des acteurs français, nous savons exactement quels écosystèmes nous soutenons et encourageons. 💪⁠
⁠
#refyldisthenewrecycle #comingsoon #lancement #launch #teasing #consommationresponsable #nogreenwashing #climatechange  #sustainability #globalwarming #savetheplanet #actonclimate #climatechangeisreal",Photo,,,"10/16/2020 03:55:31 AM"," ",383,383,0,433,433,0,11,6,7,0,0,229,203,0,0,10,0,0,0,0,0,0,0,0,0,0,5,3,,6,3,,2,5,,,2,5,,,,,,
447103548968697_1316720365340340,https://www.facebook.com/refyld/posts/1316720365340340,"Le choix du verre : pour des contenants réutilisables à #vie ⁠et sans risque pour notre #santé 🙌⁠⠀
⁠⠀
Au delà de sa capacité à mieux se recycler que tout autre matériaux — mais #recyclage ne veut pas dire impact neutre sur l'environnement, hein, on vous explique ça dans un de nos post précédent d'ailleurs🤔.⁠⠀
⁠⠀
Nous avons choisi le #verre car sur le long terme, il ne présente aucun risque de dégradation dans les produits et donc aucun risque de contamination. 🚫 Contrairement au #plastique, dont les produits chimiques qui le composent migrent dans les emballages de notre alimentation et nos produits d'hygiène. 😷⁠⠀
⁠⠀
👉 Pourquoi ? Car lors de la fabrication du plastique, de nombreux plastifiants et additifs chimiques, souvent #cancérigènes, sont utilisés afin de donner certaines caractéristiques au produit : couleur, transparence, souplesse ou rigidité, imperméabilité, etc. ⁠⠀
⁠⠀
La majorité d’entre eux ne sont pas fixés solidement entre eux, alors ils se dégradent et contaminent facilement les produits qu'ils emballent : alimentation, produits d'hygiène et de soin... Et donc notre santé et l'environnement. ⁠⠀
⁠⠀
Bien que la toxicité de ces additifs ait été prouvé, les industriels ne sont pas tenus de rendre publique la liste de ces additifs. Parmi les plus connus ayant ces réjouissantes propriétés, on peut citer les phtalates ou le Bisphenol A. 😤⁠⠀
⁠⠀
Alors, nous on a préféré opter pour la solution la moins polluante, aka le verre, &amp; la plus saine pour notre santé et celle la #planète. ⁠⠀
⁠⠀
Si vous êtes de notre avis 👉 RENDEZ-VOUS LE 28 OCTOBRE.",Photo,,,"10/15/2020 11:07:47 AM"," ",439,439,0,480,480,0,14,9,9,0,0,302,268,0,0,11,0,0,0,0,0,0,0,0,0,0,8,2,,8,2,,3,6,,,3,6,,,,,,
447103548968697_1315407248804985,https://www.facebook.com/refyld/posts/1315407248804985,"« Simple », « Essentiel »,« Accessible »... Ce sont les éléments que l'on a partagé à @mariecodina pour pouvoir imaginer notre nouvelle image de marque. 😊 ⁠⠀⁠
⁠
On voulait quelque chose de très minimaliste, non genré  avec un côté « retour à l'essentiel » qui pourrait s'adapter facilement à chacun.e d'entre vous. 🌱⁠⠀⁠
⁠
Un nom qui aspire à la rechargeabilité, (fylde = remplir en danois) et qui respire la simplicité, parce que c’est aussi ce que nous voulons faire avec nos produits ! 💥⁠⠀⁠
⁠⠀⁠
Et vous, ça vous plaît ce nouveau nom et cette nouvelle identité ? 🤔⁠⠀⁠
⁠
PS : rendez-vous sur notre site refyld.com pour inscrire votre adresse mail afin de ne pas louper notre lancement. 🤩⁠
⁠⠀⁠
#refyld #refyldisthenewrecycle #marquefrancaise #france #produitsain #toujoursplusdurable #comingsoon #lancement #launch #staytuned",Photo,,,"10/14/2020 03:19:25 AM"," ",413,413,0,447,447,0,20,12,16,1,1,275,249,0,0,15,0,0,0,0,0,0,0,0,0,0,10,3,2,10,3,2,2,8,3,,2,11,3,,1,,1,
447103548968697_1314586238887086,https://www.facebook.com/refyld/posts/1314586238887086,"Ça fait 3 ans qu’on s'est lancé dans le zéro déchet et pendant tout ce temps, on a essayé pleiiiin de produits (salle de bain, cuisine, ménage...👀🔍💦), mais on a jamais trouvé ceux qui nous correspondaient parfaitement : entre le prix, souvent trop élevé, le confort d'utilisation, le design, le manque d'efficacité... 🙄⁠
⁠
Et puis surtout, depuis plusieurs mois, on s'est aperçu que nous n'étions pas seuls à penser ça, vous êtes nombreux.ses à nous partager des avis similaires. 🙌 ⁠
⁠
La bonne nouvelle c'est qu'on lance (très) bientôt notre propre solution pour des produits sans compromis. 🎊 #rendezvousle28octobre⁠⠀⁠
⁠
PS : sur cette photo se cache un de nos produits favoris. ⁠
Une idée de ce dont il peut bien s’agir ? Qu’est-ce que vous aimeriez y retrouver ? ⁠⠀⁠
⁠⠀⁠
On est curieux de connaître vos idées 🤗⁠⠀⁠
⁠
⁠⠀⁠
#staytuned #bonnenouvelle #produitnaturel #produitsain #lancement #refyldisthenewrecycle #toujoursplusdurable #consommerautrement⁠ #nomoreplastic",Photo,,,"10/13/2020 04:20:57 AM"," ",456,456,0,509,509,0,25,18,20,1,1,326,291,0,0,16,0,0,0,0,0,0,0,0,0,0,10,3,2,10,3,2,5,14,,,6,14,,,1,,1,
447103548968697_1314086015603775,https://www.facebook.com/refyld/posts/1314086015603775,"Lundi 20h00, l’heure du JT ! 🔔 ⁠
⁠
C’est le moment que l’on a choisi (et quel moment 😄) pour vous parler de ce que l’on voulait faire sur ce compte : aka réinventer notre consommation.⁠
⁠
Nous sommes partis d’un simple questionnement : pourquoi devons-nous si souvent choisir entre la qualité d'un produit, ses valeurs et son prix ? ⁠
⁠
&quot;Si un produit est bon, il est trop cher, si il n'est pas assez cher, il n'est pas bon, si un produit est bon &amp; pas cher, alors il est fabriqué (très) loin...&quot; 🤨⁠
⁠
On s'est alors donné une #mission : ne plus jamais faire de compromis. Parce que opter pour des produits naturels, c’est essentiel pour sa santé et celle de la planète. Parce qu’on ne devrait pas choisir entre la qualité et le prix. Parce que ce sont des produits dont on ne peut pas se passer. Parce que des produits sains et naturels sont indispensables à notre bonheur général. 🌈⁠
⁠
On vous partagera ici un peu plus nos #valeurs, ce qui nous anime depuis plus de 3 ans (avec la réalisation de notre #documentaire 🎥,), nos #inspirations et la #mission qu’on s’est donné : mais surtout pour récolter vos #témoignages, vos envies et vos besoins pour vos produits du quotidien. ⁠
⁠
Alors n’hésitez pas : likez, commentez, écrivez-nous, on répond à tout le monde ! 💌⁠
⁠
C’est le moment d'adopter des bons réflexes pour #demain, faisons des produits sains et naturels les stars de nos intérieurs ! 🌱⁠
⁠
Prêt.es pour la Re(fyld)volution ? 😉⁠
Rendez-vous le 28 octobre. ⁠
⁠
#staytuned #bonnenouvelle #produitnaturel #nomoreplastic #toujoursplusdurable #lancement #refyldisthenewrecycle #consommerautrement",Photo,,,"10/12/2020 11:52:05 AM"," ",450,450,0,490,490,0,23,13,14,2,2,356,324,0,0,19,0,0,0,0,0,0,0,0,0,0,12,3,,13,3,,3,10,,,3,11,,,1,1,1,1
447103548968697_1313649832314060,https://www.facebook.com/refyld/posts/1313649832314060,"Un avenir sain n’inclut pas le plastique. Vos produits essentiels non plus. ⁠ ⁠
⁠
Inscrivez-vous sur refyld.com pour recevoir des informations sur le lancement mais aussi pour participer à notre lutte contre la #pollutionplastique.
⁠
🔜⁠ Rendez-vous le mercredi 28 octobre.",Photo,,,"10/12/2020 01:41:54 AM"," ",292,292,0,325,325,0,7,3,3,1,1,254,226,0,0,7,0,0,0,0,0,0,0,0,0,0,6,,,6,,,,1,2,,,1,2,,1,,1,
447103548968697_1311131805899196,https://www.facebook.com/refyld/posts/1311131805899196,"Seulement 25% des emballages plastique sont vraiment recyclés en France. ⁠
⁠
Longtemps le geste de tri a été la première école du #développementdurable. Ce geste a permis à nombre d'entre nous de questionner sa façon de #consommer. Mais aujourd'hui, face à la quantité de #déchets que nous générons, le #recyclage ne nous permet pas de régler la pollution engendrée par la montagne de déchets que nous produisons. ⁠
⁠
Au contraire, il nous détourne de la vraie solution. ⁠
⁠
Et parmi tous les emballages, le #plastique est le plus complexe à valoriser.⁠
⁠
De quoi poser la VRAIE question : comment en finir avec le plastique ?⁠
⁠
👉 RÉPONSE LE 28 OCTOBRE !",Photo,,,"10/09/2020 04:14:16 AM"," ",343,343,0,393,393,0,12,2,2,1,1,285,252,0,0,12,0,0,0,0,0,0,0,0,0,0,11,1,,11,1,,1,1,,,1,1,,,1,,1,
447103548968697_1310265562652487,https://www.facebook.com/refyld/posts/1310265562652487,"Depuis le début de l’aventure, vous avez été très nombreux.ses à passer par notre site helloneo.fr pour adopter un mode de vie plus responsable. ⁠⠀
⁠⠀
Voir un tel engouement depuis moins d'un an nous pousse à faire toujours mieux et à nous engager encore plus pour vous et pour la planète.⁠⠀
⁠⠀
Aujourd’hui, nous sommes prêts à écrire une autre page de cette histoire à vos côtés. Une page encore plus engagée avec plus d'impact, pour construire un meilleur futur. ✊⁠⠀
⁠⠀
Nous travaillons depuis plusieurs mois sur une nouvelle offre de produits du quotidien sans compromis et il est désormais grand temps de la partager avec vous.⁠⠀
⁠⠀
Nous espérons de tout coeur que vous lui ferez un accueil aussi chaleureux qu’au premier.⁠⠀
⁠⠀
Prêt.e pour transformer votre consommation ? 🛒💳⁠⠀
👉 👉 RENDEZ-VOUS LE 28 OCTOBRE. ⁠⠀
⁠⠀
#entreprendrepourchangerlemonde #refyld #comingsoon #launch #sustainablebrand  #cleantoplanet #organicproduct #gogreen #entrepreneuriat #reminder #brand #entreprendre #startup #lancement",Video,,,"10/08/2020 03:21:03 AM"," ",6543,2385,4157,7633,3064,4569,461,434,502,4,4,623,414,0,0,103,105,109,8,8,1006,1153,658,667,6070,56214,59,17,4,76,17,8,,242,3,196,,292,3,207,2,2,2,2
447103548968697_1309490152730028,https://www.facebook.com/refyld/posts/1309490152730028,"Dans 21 jours on lance notre toute nouvelle offre. 🔔 ⁠
⁠
Avec Refyld nous voulons initier un véritable mouvement. Et plus nous serons nombreux.ses, plus nous pourrons entamer une grande transformation collective. ⁠
⁠
Car nous en sommes convaincus : le potentiel de solidarité en chacun.e de nous est infini.⁠
⁠
Alors n’hésitez pas à nous laissez vos adresses emails en cliquant sur le lien dans la bio, comme ça on pourra facilement vous informer du lancement et avancer tou.te.s ensemble. ⁠
⁠
On a hâte de vous en dire plus 🤩🌱⁠
⁠
#refyld #comingsoon #entrepreneuriat #reminder #launch #brand #entreprendre #startup #lancement",Photo,,,"10/07/2020 03:11:34 AM"," ",449,449,0,542,542,0,18,6,10,0,0,362,294,0,0,16,0,0,0,0,0,0,0,0,0,0,14,2,,18,3,,3,5,,,3,7,,,,,,
447103548968697_1308723119473398,https://www.facebook.com/refyld/posts/1308723119473398,"On organise un chouette concours en partenariat avec le très beau et bon Home magazine 😊
RDV sous ce post pour en savoir plus !",Photo,,,"10/06/2020 04:40:22 AM"," ",206,206,0,231,231,0,12,10,13,0,0,159,140,0,0,10,0,0,0,0,0,0,0,0,0,0,4,,2,4,1,2,1,8,1,,1,11,1,,,,,
