Date,Page Likes,Amount,Lifetime Total Likes
2020-12-24,Daily Unlikes,0,1222
2020-12-23,Daily Unlikes,-1,1222
2020-12-22,Daily Unlikes,0,1223
2020-12-21,Daily Unlikes,0,1223
2020-12-20,Daily Unlikes,0,1223
2020-12-19,Daily Unlikes,0,1223
2020-12-18,Daily Unlikes,0,1223
2020-12-17,Daily Unlikes,0,1222
2020-12-16,Daily Unlikes,0,1221
2020-12-15,Daily Unlikes,0,1215
2020-12-14,Daily Unlikes,0,1213
2020-12-13,Daily Unlikes,0,1202
2020-12-12,Daily Unlikes,0,1201
2020-12-11,Daily Unlikes,0,1201
2020-12-10,Daily Unlikes,0,1201
2020-12-09,Daily Unlikes,0,1201
2020-12-08,Daily Unlikes,0,1196
2020-12-07,Daily Unlikes,0,1193
2020-12-06,Daily Unlikes,-1,1193
2020-12-05,Daily Unlikes,0,1190
2020-12-04,Daily Unlikes,0,1190
2020-12-03,Daily Unlikes,0,1190
2020-12-02,Daily Unlikes,0,1188
2020-12-01,Daily Unlikes,0,1185
2020-11-30,Daily Unlikes,0,1183
2020-11-29,Daily Unlikes,0,1182
2020-11-28,Daily Unlikes,0,1177
2020-11-27,Daily Unlikes,0,1176
2020-11-26,Daily Unlikes,0,1173
2020-11-25,Daily Unlikes,0,1171
2020-11-24,Daily Unlikes,0,1168
2020-11-23,Daily Unlikes,0,1167
2020-11-22,Daily Unlikes,-1,1164
2020-11-21,Daily Unlikes,0,1165
2020-11-20,Daily Unlikes,-1,1161
2020-11-19,Daily Unlikes,0,1160
2020-11-18,Daily Unlikes,0,1155
2020-11-17,Daily Unlikes,0,1154
2020-11-16,Daily Unlikes,0,1149
2020-11-15,Daily Unlikes,0,1144
2020-11-14,Daily Unlikes,0,1135
2020-11-13,Daily Unlikes,0,1130
2020-11-12,Daily Unlikes,0,1123
2020-11-11,Daily Unlikes,-3,1109
2020-11-10,Daily Unlikes,-1,1074
2020-11-09,Daily Unlikes,0,1060
2020-11-08,Daily Unlikes,0,1052
2020-11-07,Daily Unlikes,0,1048
2020-11-06,Daily Unlikes,0,1044
2020-11-05,Daily Unlikes,0,1041
